"Step","fluent-oath-59 - batch/loss","fluent-oath-59 - batch/loss__MIN","fluent-oath-59 - batch/loss__MAX"
"1","1.7761945724487305","1.7761945724487305","1.7761945724487305"
"2","1.6564310789108276","1.6564310789108276","1.6564310789108276"
"3","1.617448329925537","1.617448329925537","1.617448329925537"
"4","1.5900413990020752","1.5900413990020752","1.5900413990020752"
"5","1.568416714668274","1.568416714668274","1.568416714668274"
"9","1.501602292060852","1.501602292060852","1.501602292060852"
"10","1.4889764785766602","1.4889764785766602","1.4889764785766602"
"12","1.4671367406845093","1.4671367406845093","1.4671367406845093"
"13","1.4569669961929321","1.4569669961929321","1.4569669961929321"
"14","1.449347734451294","1.449347734451294","1.449347734451294"
"17","1.430258870124817","1.430258870124817","1.430258870124817"
"18","1.4254097938537598","1.4254097938537598","1.4254097938537598"
"20","1.4151513576507568","1.4151513576507568","1.4151513576507568"
"22","1.405588150024414","1.405588150024414","1.405588150024414"
"28","1.3784312009811401","1.3784312009811401","1.3784312009811401"
"29","1.3755770921707153","1.3755770921707153","1.3755770921707153"
"30","1.3715263605117798","1.3715263605117798","1.3715263605117798"
"34","1.3586578369140625","1.3586578369140625","1.3586578369140625"
"35","1.3559019565582275","1.3559019565582275","1.3559019565582275"
"39","1.3461172580718994","1.3461172580718994","1.3461172580718994"
"40","1.3449056148529053","1.3449056148529053","1.3449056148529053"
"41","1.342387318611145","1.342387318611145","1.342387318611145"
"42","1.3402209281921387","1.3402209281921387","1.3402209281921387"
"49","1.3230255842208862","1.3230255842208862","1.3230255842208862"
"50","1.3203933238983154","1.3203933238983154","1.3203933238983154"
"53","1.3147406578063965","1.3147406578063965","1.3147406578063965"
"54","1.3124158382415771","1.3124158382415771","1.3124158382415771"
"55","1.3106969594955444","1.3106969594955444","1.3106969594955444"
"56","1.3092269897460938","1.3092269897460938","1.3092269897460938"
"58","1.3053227663040161","1.3053227663040161","1.3053227663040161"
"60","1.3015960454940796","1.3015960454940796","1.3015960454940796"
"61","1.299560308456421","1.299560308456421","1.299560308456421"
"62","1.2978965044021606","1.2978965044021606","1.2978965044021606"
"63","1.2960573434829712","1.2960573434829712","1.2960573434829712"
"64","1.294356346130371","1.294356346130371","1.294356346130371"
"67","1.2897809743881226","1.2897809743881226","1.2897809743881226"
"72","1.282166838645935","1.282166838645935","1.282166838645935"
"77","1.2744969129562378","1.2744969129562378","1.2744969129562378"
"79","1.2713453769683838","1.2713453769683838","1.2713453769683838"
"80","1.2697933912277222","1.2697933912277222","1.2697933912277222"
"82","1.266945242881775","1.266945242881775","1.266945242881775"
"84","1.2641534805297852","1.2641534805297852","1.2641534805297852"
"85","1.2627745866775513","1.2627745866775513","1.2627745866775513"
"86","1.2615258693695068","1.2615258693695068","1.2615258693695068"
"87","1.260482907295227","1.260482907295227","1.260482907295227"
"90","1.256530523300171","1.256530523300171","1.256530523300171"
"91","1.2553659677505493","1.2553659677505493","1.2553659677505493"
"93","1.252877950668335","1.252877950668335","1.252877950668335"
"96","1.2493678331375122","1.2493678331375122","1.2493678331375122"
"97","1.2482913732528687","1.2482913732528687","1.2482913732528687"
"102","1.2426611185073853","1.2426611185073853","1.2426611185073853"
"103","1.241631269454956","1.241631269454956","1.241631269454956"
"104","1.2407805919647217","1.2407805919647217","1.2407805919647217"
"109","1.236636757850647","1.236636757850647","1.236636757850647"
"111","1.2347171306610107","1.2347171306610107","1.2347171306610107"
"112","1.2338712215423584","1.2338712215423584","1.2338712215423584"
"113","1.2330875396728516","1.2330875396728516","1.2330875396728516"
"114","1.2322022914886475","1.2322022914886475","1.2322022914886475"
"116","1.2306342124938965","1.2306342124938965","1.2306342124938965"
"117","1.229669451713562","1.229669451713562","1.229669451713562"
"119","1.228064775466919","1.228064775466919","1.228064775466919"
"120","1.2274796962738037","1.2274796962738037","1.2274796962738037"
"121","1.22659170627594","1.22659170627594","1.22659170627594"
"122","1.2258309125900269","1.2258309125900269","1.2258309125900269"
"123","1.2249729633331299","1.2249729633331299","1.2249729633331299"
"124","1.2241846323013306","1.2241846323013306","1.2241846323013306"
"129","1.2205296754837036","1.2205296754837036","1.2205296754837036"
"130","1.21987783908844","1.21987783908844","1.21987783908844"
"132","1.2186777591705322","1.2186777591705322","1.2186777591705322"
"134","1.2173333168029785","1.2173333168029785","1.2173333168029785"
"136","1.2159966230392456","1.2159966230392456","1.2159966230392456"
"138","1.214868426322937","1.214868426322937","1.214868426322937"
"139","1.214260220527649","1.214260220527649","1.214260220527649"
"141","1.2132173776626587","1.2132173776626587","1.2132173776626587"
"145","1.2108057737350464","1.2108057737350464","1.2108057737350464"
"146","1.2100814580917358","1.2100814580917358","1.2100814580917358"
"148","1.2090423107147217","1.2090423107147217","1.2090423107147217"
"149","1.2084307670593262","1.2084307670593262","1.2084307670593262"
"150","1.2077685594558716","1.2077685594558716","1.2077685594558716"
"152","1.2067985534667969","1.2067985534667969","1.2067985534667969"
"153","1.2063857316970825","1.2063857316970825","1.2063857316970825"
"154","1.2058792114257812","1.2058792114257812","1.2058792114257812"
"155","1.20546293258667","1.20546293258667","1.20546293258667"
"156","1.2048935890197754","1.2048935890197754","1.2048935890197754"
"158","1.2039594650268555","1.2039594650268555","1.2039594650268555"
"161","1.2027723789215088","1.2027723789215088","1.2027723789215088"
"162","1.2022813558578491","1.2022813558578491","1.2022813558578491"
"165","1.2010844945907593","1.2010844945907593","1.2010844945907593"
"166","1.20057213306427","1.20057213306427","1.20057213306427"
"172","1.198145866394043","1.198145866394043","1.198145866394043"
"173","1.1977565288543701","1.1977565288543701","1.1977565288543701"
"180","1.1950048208236694","1.1950048208236694","1.1950048208236694"
"182","1.194085717201233","1.194085717201233","1.194085717201233"
"184","1.1933687925338745","1.1933687925338745","1.1933687925338745"
"186","1.1926547288894653","1.1926547288894653","1.1926547288894653"
"194","1.1901191473007202","1.1901191473007202","1.1901191473007202"
"197","1.1888316869735718","1.1888316869735718","1.1888316869735718"
"202","1.1871942281723022","1.1871942281723022","1.1871942281723022"
"204","1.1866295337677002","1.1866295337677002","1.1866295337677002"
"205","1.1863298416137695","1.1863298416137695","1.1863298416137695"
"208","1.1854634284973145","1.1854634284973145","1.1854634284973145"
"209","1.185067892074585","1.185067892074585","1.185067892074585"
"210","1.1847445964813232","1.1847445964813232","1.1847445964813232"
"211","1.184499740600586","1.184499740600586","1.184499740600586"
"216","1.1831114292144775","1.1831114292144775","1.1831114292144775"
"218","1.1825897693634033","1.1825897693634033","1.1825897693634033"
"221","1.18178129196167","1.18178129196167","1.18178129196167"
"222","1.1815178394317627","1.1815178394317627","1.1815178394317627"
"224","1.1808851957321167","1.1808851957321167","1.1808851957321167"
"225","1.1805471181869507","1.1805471181869507","1.1805471181869507"
"227","1.1799856424331665","1.1799856424331665","1.1799856424331665"
"229","1.179594874382019","1.179594874382019","1.179594874382019"
"231","1.1791285276412964","1.1791285276412964","1.1791285276412964"
"232","1.1789040565490723","1.1789040565490723","1.1789040565490723"
"233","1.1786220073699951","1.1786220073699951","1.1786220073699951"
"234","1.1785054206848145","1.1785054206848145","1.1785054206848145"
"238","1.1775144338607788","1.1775144338607788","1.1775144338607788"
"240","1.1770691871643066","1.1770691871643066","1.1770691871643066"
"241","1.1768511533737183","1.1768511533737183","1.1768511533737183"
"243","1.1763384342193604","1.1763384342193604","1.1763384342193604"
"247","1.1753454208374023","1.1753454208374023","1.1753454208374023"
"248","1.175095796585083","1.175095796585083","1.175095796585083"
"252","1.174164056777954","1.174164056777954","1.174164056777954"
"254","1.1736313104629517","1.1736313104629517","1.1736313104629517"
"258","1.1728756427764893","1.1728756427764893","1.1728756427764893"
"261","1.1723085641860962","1.1723085641860962","1.1723085641860962"
"263","1.1719199419021606","1.1719199419021606","1.1719199419021606"
"269","1.1708954572677612","1.1708954572677612","1.1708954572677612"
"272","1.1704200506210327","1.1704200506210327","1.1704200506210327"
"273","1.1702576875686646","1.1702576875686646","1.1702576875686646"
"275","1.1698170900344849","1.1698170900344849","1.1698170900344849"
"279","1.169223427772522","1.169223427772522","1.169223427772522"
"280","1.1691035032272339","1.1691035032272339","1.1691035032272339"
"287","1.1679292917251587","1.1679292917251587","1.1679292917251587"
